Name	us_map_img_x	us_map_img_y	color	start_year	1790	1791	1792	1793	1794	1795	1796	1797	1798	1799	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Florida	1	1	4	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	760	2171	4598	8143	12746	18176	24031	29765	34730	38666	41795	44197	45999	47364	48476	49531	50736	52307	54476	57092	59839	62723	65753	68936	72281	75795	79487	83367	87445	91826	96579	101654	106992	112530	118194	123905	129577	135117	140424	145385	150015	154407	158661	162884	167191	171702	176541	181842	187747	194202	201052	208293	215922	223933	232322	241080	250201	259675	269493	279802	290723	302194	314147	326510	339201	352135	365218	378349	391422	404249	416817	429277	441794	454541	467702	481471	496053	511667	528542	546983	566996	588356	610821	634129	657997	682119	706166	729789	752618	773808	793181	811389	829121	847101	866084	886858	910254	937146	968470	1005306	1047573	1094477	1145153	1198649	1253916	1309806	1365065	1418344	1468211	1513469	1554669	1593010	1629770	1666300	1704014	1744390	1788977	1839407	1897413	1960118	2024277	2091227	2162391	2239288	2323541	2416897	2521241	2638628	2771305	2925867	3105401	3306791	3526462	3760274	4003454	4250567	4495518	4731597	4951560	5152605	5339098	5514507	5682657	5847679	6013978	6186221	6369342	6641000	6845353	7163026	7520324	7927099	8317034	8541660	8695356	8888958	9131554	9470585	9839835	10192775	10471405	10749849	11039925	11351120	11667503	11997282	12306400	12637718	13033307	13369798	13650553	13927185	14239444	14537875	14853360	15186304	15486559	15759421	16047515	16356966	16689370	17004085	17415318	17842038	18166990	18367842	18527305	18652644	18801310	18804564	18845537	19053237	19297822	19545621	19845911	20209042	20613477	20963613	21244317	21477737	22044231	22610726	22975931
Georgia	2	1	4	1788	82547	86610	92039	98695	106427	115055	124365	134102	143967	153621	162686	171352	180076	188852	197675	206540	215445	224385	233360	242367	251407	260152	268393	276314	284111	291997	300192	308932	318466	329057	340989	354520	369588	385991	403512	421908	440913	460237	479562	498545	516823	534410	551646	568636	585494	602346	619322	636563	654216	672438	691391	711365	732379	754196	776563	799212	821857	844198	865921	886696	906185	924346	941453	957636	973032	987783	1002039	1015955	1029692	1043412	1057286	1070144	1081136	1090921	1100176	1109588	1119860	1131704	1145852	1163058	1184109	1209820	1239979	1273830	1310590	1349428	1389466	1429773	1469360	1507191	1542180	1574379	1604840	1633958	1662152	1689856	1717521	1745614	1774616	1805024	1837353	1871562	1907138	1943888	1981614	2020111	2059163	2098547	2138031	2177376	2216331	2255526	2295569	2336169	2377022	2417812	2458215	2497896	2536511	2573706	2609120	2643607	2677985	2711824	2744688	2776130	2805693	2832914	2857325	2878455	2895832	2907619	2913235	2914105	2911671	2907377	2902670	2898991	2897776	2900465	2908505	2921202	2936682	2954641	2974772	2996769	3020321	3045114	3070829	3097142	3123722	3150621	3178216	3206675	3236163	3266854	3298920	3332541	3367899	3405181	3444578	3486228	3530055	3575933	3623731	3673315	3724550	3777295	3831404	3886729	3943115	4000515	4059083	4118979	4180363	4243401	4308266	4375131	4444179	4551000	4605421	4710272	4807151	4906940	4994870	5058535	5126155	5211771	5286148	5391265	5486174	5568346	5649788	5728248	5834943	5962639	6084645	6208479	6316139	6411117	6512602	6653005	6817203	6978240	7157165	7328413	7501069	7685099	7863536	8045965	8227303	8377038	8508256	8622793	8769252	8925922	9155813	9349988	9504843	9620846	9687653	9688729	9711881	9802431	9901430	9972479	10067278	10178447	10301890	10410330	10511131	10617423	10823325	11029227	11145304
Guam	4	7	5	1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	269	774	1643	2907	4533	6422	8412	10289	11806	12855	13519	13848	13911	13788	13564	13320	13138	13097	13275	13632	14063	14557	15100	15678	16275	16875	17460	18011	18509	18855	19011	19048	19040	19060	19183	19482	20039	20941	22289	24280	26990	30349	34265	38612	43222	47883	52345	56319	59497	61786	63372	64375	64930	65180	65271	65354	65575	66087	67043	68364	69850	71481	73233	75086	77014	78993	80997	82997	84965	86913	88875	90859	92872	94920	97012	99156	101359	103630	105978	108447	111054	113772	116569	119415	122276	125118	127903	130594	133152	135641	138136	140608	143030	145372	147603	149694	151612	153326	154805	156031	157025	157809	158406	158838	159129	159302	159382	159392	159358	159187	158805	158259	157598	156869	156118	155393	154741	154206	153836	153614	153524	153433	153442
Hawaii	3	1	0	1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	3471	9962	21130	37389	58366	82846	108808	133566	154001	168868	179260	185677	188857	189678	189086	188048	187524	188473	191874	196928	202179	207661	213412	219470	225875	232673	239907	247625	255881	265085	275468	286795	298813	311245	323791	336126	347904	358756	368300	376363	383182	388985	394018	398534	402795	407068	411629	416756	422737	429250	435822	442526	449437	456633	464195	472204	480746	489912	499794	510595	522365	534962	548237	562033	576185	590522	604860	619009	632772	646056	659002	671748	684444	697242	710301	723788	737874	743000	762920	791580	818104	841851	858121	875052	892335	915749	928816	950050	967710	978195	993780	1012717	1027922	1039698	1051762	1067917	1079827	1094588	1113491	1136754	1158613	1172838	1187536	1196854	1203755	1211640	1215233	1210300	1213519	1225948	1239613	1251154	1273569	1292729	1309731	1315675	1332213	1346717	1360301	1360307	1363963	1379329	1394804	1408243	1414538	1422052	1427559	1424393	1420593	1415872	1425505	1435138	1430877
Idaho	4	1	0	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	312	886	1871	3318	5218	7499	10027	12606	14999	17062	18842	20386	21763	23064	24394	25872	27629	29817	32610	36081	40163	44833	50055	55775	61920	68396	75087	81856	88548	95016	101294	107492	113740	120184	126989	134336	142429	151490	161772	173751	187590	203058	219873	237694	256117	274676	292839	310022	325594	339799	353291	366030	377980	389114	399407	408841	417402	425078	431866	436985	439964	441274	441402	440842	440089	439637	439978	441609	445031	450226	456679	464161	472441	481280	490431	499637	508630	517137	524873	531903	538546	544886	551015	557024	563006	569060	575282	581773	588637	595997	603827	611997	620375	628827	637213	645390	653211	660529	667190	672401	675856	678147	679872	681635	684045	687713	693260	707000	717255	738749	763229	782061	807973	831981	856979	883446	910962	932636	947983	962204	973719	981866	990841	994052	990222	984997	985661	994422	1012384	1041316	1071685	1108768	1145140	1177322	1203083	1228520	1252330	1275674	1299430	1319962	1340372	1363380	1391802	1428241	1468669	1505105	1534320	1554439	1567582	1567657	1570746	1583910	1595324	1611206	1631112	1651059	1682380	1717715	1750536	1787065	1875895	1964726	1990456
Illinois	5	1	1	1818	0	8	42	117	246	439	703	1042	1453	1929	2458	3019	3608	4239	4930	5706	6599	7649	8904	10424	12281	14525	17167	20237	23760	27759	32248	37239	42734	48729	55211	62018	69074	76511	84493	93215	102907	113837	126318	140713	157445	177299	200707	227548	257600	290518	325819	362876	400917	439032	476183	511359	544684	576841	608642	641009	674974	711675	752368	798448	851470	913121	983468	1061660	1146657	1237202	1331794	1428682	1525865	1621104	1711950	1799810	1887576	1974880	2061345	2146579	2230177	2311730	2390816	2467013	2539891	2607041	2667205	2721754	2772153	2819940	2866721	2914157	2963965	3017921	3077871	3142555	3209458	3278597	3349986	3423639	3499571	3577796	3658326	3741174	3826352	3915697	4010366	4109309	4211422	4315545	4420456	4524876	4627468	4726840	4821550	4911442	4997744	5081071	5162073	5241422	5319815	5397974	5476642	5556585	5638591	5720957	5801896	5882100	5962280	6043168	6125516	6210097	6297703	6389151	6485280	6590421	6706338	6829972	6958156	7087605	7214910	7336544	7448871	7548168	7630653	7692450	7734961	7762398	7779055	7789276	7797429	7807893	7825062	7853355	7897240	7953454	8015625	8083623	8157320	8236589	8321307	8411349	8506591	8606908	8712176	8826568	8952759	9088328	9230789	9377583	9526068	9673515	9817117	9953983	10081158	10202143	10321819	10439231	10553407	10663355	10768067	10866522	10957686	11039000	11124681	11205816	11258111	11260248	11273745	11306351	11360274	11406312	11434421	11422782	11434702	11443461	11423413	11408817	11412128	11399803	11387256	11391176	11390186	11409782	11453316	11568964	11694184	11809579	11912585	12008437	12101997	12185715	12271847	12359020	12434161	12488445	12525556	12556006	12589773	12609903	12643955	12695866	12747038	12796778	12830632	12831572	12840503	12867454	12882510	12895129	12884493	12858913	12820527	12778828	12723071	12671821	12610755	12549689	12516863
Indiana	6	1	1	1816	0	7	37	98	202	363	596	919	1351	1914	2631	3492	4483	5637	7003	8641	10632	13076	16097	19848	24520	30441	37871	46890	57523	69730	83390	98297	114162	130608	147178	163760	180625	197862	215590	233964	253167	273412	294947	318049	343031	370446	400461	432792	467090	502938	539845	577253	614531	650985	685866	718867	750368	780638	809989	838768	867354	896157	925618	956205	988416	1022233	1057167	1093023	1129593	1166652	1203961	1241266	1278302	1314787	1350428	1385280	1419619	1453478	1486895	1519910	1552568	1584916	1617007	1648894	1680637	1712297	1743833	1775137	1806101	1836613	1866559	1895822	1924281	1951815	1978300	2002936	2025356	2046099	2065719	2084784	2103871	2123570	2144482	2167217	2192404	2220652	2251708	2284900	2319538	2354912	2390291	2424919	2458022	2488806	2516462	2540713	2562185	2581416	2598959	2615379	2631246	2647140	2663645	2681357	2700876	2721608	2742607	2763956	2785739	2808039	2830945	2854542	2878921	2904173	2930390	2958368	2988486	3020196	3052942	3086156	3119257	3151653	3182738	3211896	3238503	3261136	3279603	3295132	3308969	3322373	3336614	3352971	3372741	3397235	3427796	3464032	3504417	3548607	3596253	3647002	3700490	3756345	3814185	3873613	3934224	3998193	4067261	4140325	4216245	4293840	4371883	4449105	4524190	4595785	4662498	4725286	4786020	4844661	4901172	4955517	5007663	5057580	5105237	5143000	5203700	5249921	5296129	5329122	5349886	5351080	5371552	5405075	5446403	5474909	5490721	5480440	5467918	5450396	5458322	5459214	5454103	5473023	5491733	5523679	5557798	5616388	5674547	5739019	5793526	5851459	5906013	5955267	5998880	6044969	6091866	6127760	6155967	6196638	6233007	6278616	6332669	6379599	6424806	6459325	6483802	6484051	6490432	6516528	6537703	6568713	6593644	6608422	6634304	6658078	6695497	6732219	6797209	6862199	6892124
Iowa	0	2	1	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	776	2143	4488	7991	12757	18796	26018	34224	43112	52482	62436	73100	84664	97382	111575	127635	146035	167338	192213	221904	257136	297772	343479	393695	447607	504138	561953	619475	674913	728605	782091	835258	888019	940313	992097	1043352	1094076	1144288	1194020	1242888	1290458	1336710	1381641	1425256	1467574	1508625	1548449	1587093	1624614	1659971	1692398	1722402	1750519	1777306	1803347	1829239	1855601	1883069	1912297	1944246	1978829	2015117	2052149	2088928	2124421	2157562	2187258	2212396	2231853	2244065	2249233	2248905	2244652	2238053	2230685	2224115	2219901	2219599	2224770	2235459	2250085	2267793	2287724	2309004	2330746	2352046	2371983	2389623	2404020	2415391	2424806	2432603	2439126	2444718	2449727	2454502	2459395	2464755	2470939	2477587	2484137	2490631	2497114	2503630	2510223	2516939	2523821	2530915	2538267	2545678	2552991	2560313	2567754	2575422	2583429	2591886	2600903	2610594	2621073	2632798	2645916	2660072	2674906	2690055	2705152	2719826	2733700	2746398	2757536	2766999	2775105	2782128	2788345	2794033	2799473	2804945	2810730	2805000	2828534	2851828	2860506	2864031	2867941	2881425	2903770	2914308	2919008	2916803	2914018	2907985	2888190	2870547	2858615	2829684	2791969	2767006	2768393	2770590	2781018	2797613	2818401	2836972	2850746	2867373	2880000	2891119	2902872	2917634	2929067	2931997	2934234	2941999	2953635	2964454	2982644	2999212	3016734	3032870	3046355	3046871	3050745	3066336	3076190	3092997	3109350	3120960	3131371	3141550	3148618	3155070	3181037	3207004	3214315
Kansas	1	2	1	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	2056	5741	12067	21446	34012	49570	67587	87190	107206	127154	147498	168373	190034	212847	237277	263901	293401	326585	364399	408572	459859	517688	581221	649318	720513	793018	864734	933291	996095	1053798	1108698	1160580	1209263	1254600	1296478	1334812	1369545	1400646	1428108	1449001	1461473	1467228	1468038	1465712	1462066	1458913	1458058	1461309	1470495	1485554	1504607	1526779	1551178	1576888	1602963	1628426	1652271	1673463	1690948	1704687	1715687	1724468	1731564	1737512	1742858	1748152	1753944	1760792	1769256	1779875	1792379	1806125	1820459	1834716	1848224	1860299	1870249	1877381	1880999	1879947	1874297	1865205	1853827	1841315	1828803	1817414	1808255	1802426	1801027	1803248	1807488	1813669	1821718	1831562	1843132	1856358	1871173	1887509	1905299	1926260	1951485	1979953	2010624	2042425	2074254	2104971	2133405	2158357	2178611	2193881	2205199	2213324	2219028	2223096	2226316	2229478	2233377	2236000	2247823	2246132	2255525	2264369	2267881	2278621	2298645	2317836	2332815	2347370	2369039	2384853	2401207	2415529	2424088	2427401	2432614	2445367	2461995	2472838	2481349	2498722	2532394	2556547	2580513	2601007	2614554	2635292	2660598	2678338	2693681	2702162	2713535	2723004	2734373	2745299	2762931	2783785	2808076	2832704	2853118	2853123	2858190	2869225	2885257	2893212	2900475	2909011	2910844	2908718	2911359	2913314	2926930	2940546	2944376
Kentucky	2	2	4	1792	73676	80311	89368	100745	114296	129800	146932	165245	184169	203009	220958	238453	256461	274893	293652	312631	331715	350780	369694	388319	406511	424174	441326	457987	474189	489970	505374	520452	535259	549859	564317	578474	592145	605356	618138	630525	642555	654266	665700	676902	687916	698098	707013	715035	722551	729956	737657	746065	755603	766707	779828	795293	812883	832232	852958	874662	896925	919305	941338	962539	982405	1001147	1019370	1037145	1054545	1071650	1088540	1105299	1122016	1138780	1155684	1171968	1187092	1201491	1215612	1229914	1244867	1260950	1278660	1298504	1321011	1347048	1376653	1409110	1443673	1479559	1515948	1551975	1586739	1619300	1648690	1674651	1697948	1719135	1738787	1757497	1775871	1794532	1814111	1835257	1858634	1884695	1913052	1943109	1974254	2005855	2037259	2067793	2096764	2123465	2147174	2167773	2185888	2201909	2216237	2229279	2241451	2253172	2264868	2276967	2289905	2302948	2315236	2327017	2338542	2350061	2361832	2374112	2387162	2401245	2416630	2433301	2450989	2469576	2488941	2508965	2529524	2550494	2571747	2593156	2614589	2636860	2660574	2685273	2710493	2735760	2760591	2784495	2806974	2827521	2845627	2861086	2874287	2885608	2895431	2904144	2912137	2919804	2927539	2935740	2944806	2954003	2962509	2970592	2978520	2986566	2995001	3004101	3014140	3025398	3038156	3051498	3064631	3078016	3092121	3107418	3124383	3143499	3165256	3198000	3230587	3298262	3336106	3371573	3417039	3468755	3530443	3575001	3611382	3643655	3664221	3670395	3683449	3694469	3695459	3694816	3687805	3683330	3680002	3677318	3694048	3722328	3765469	3812206	3849088	3887427	3919535	3952747	3985390	4018053	4049021	4068132	4089875	4117170	4146101	4182742	4219239	4256672	4289878	4317074	4339367	4339333	4348181	4369821	4386346	4404659	4414349	4425976	4438182	4452268	4461153	4467673	4496913	4526154	4540745
Louisiana	3	2	4	1812	0	0	0	0	0	0	0	0	0	0	0	295	1617	4591	9705	17202	27018	38750	51652	64680	76556	86980	96539	105233	113130	120355	127075	133495	139847	146390	153406	160325	166489	172090	177346	182489	187767	193443	199794	207119	215739	225744	236930	249187	262391	276402	291065	306203	321619	337100	352411	367700	383282	399149	415297	431721	448415	465372	482586	500052	517761	536418	556458	577452	598937	620415	641352	661182	679312	695127	708001	716651	720893	721792	720443	717952	715423	713954	714639	718581	726915	739825	756323	775811	797675	821271	845919	870896	895437	918735	939946	959132	977134	994262	1010843	1027214	1043725	1060739	1078627	1097777	1118588	1141134	1165087	1190250	1216415	1243366	1270876	1298710	1326619	1354347	1381624	1409192	1437743	1466927	1496378	1525715	1554542	1582450	1609017	1633810	1656387	1675726	1691640	1704956	1716523	1727206	1737884	1749444	1762787	1778829	1798508	1822042	1848644	1877758	1908814	1941224	1974380	2007655	2040399	2071941	2101593	2129416	2156120	2181979	2207273	2232293	2257334	2282700	2308701	2335652	2363880	2392403	2420342	2448180	2476415	2505554	2536118	2568641	2603668	2641765	2683516	2730477	2783057	2840097	2900401	2962719	3025749	3088132	3148455	3205254	3257022	3303127	3344630	3382568	3418009	3452050	3485812	3520439	3557098	3619000	3650209	3710666	3761967	3788840	3820720	3886963	3951636	4015582	4073288	4139316	4223101	4283297	4352609	4395311	4400474	4408113	4406922	4344151	4288859	4252896	4221532	4253279	4293003	4316428	4347481	4378779	4398877	4421071	4440344	4460811	4471885	4477875	4497267	4521042	4552238	4576628	4302665	4375581	4435586	4491648	4533372	4533487	4544532	4575625	4600972	4624527	4644013	4664628	4678135	4670560	4659690	4648794	4611271	4573749	4559475
Maine	5	2	2	1820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298335	307029	316264	325965	336051	346436	357030	367734	378446	389058	399454	409776	420212	430715	441238	451729	462135	472402	482474	492290	501793	511043	520127	529015	537677	546083	554201	562000	569449	576516	583169	589444	595386	600971	606179	610987	615373	619316	622796	625790	628279	629955	630664	630617	630026	629102	628059	627108	626459	626324	626915	628204	629959	632083	634477	637042	639680	642290	644770	647019	648936	650463	651675	652665	653522	654340	655211	656228	657484	659071	661086	663485	666152	669065	672201	675539	679055	682729	686537	690457	694466	698745	703424	708397	713559	718803	724019	729097	733923	738386	742370	745845	748908	751636	754108	756403	758599	760778	763019	765404	768014	770711	773336	775935	778555	781244	784051	787023	790209	793659	797423	801484	805786	810315	815058	820001	825130	830431	835890	841493	847225	853225	859588	866233	873082	880052	887060	894023	900854	907467	913774	919930	926113	932263	938320	944223	949911	955322	960394	965062	969265	972426	974286	975257	975752	976186	976975	978535	981284	992000	996784	1015677	1034817	1046420	1060050	1073280	1089960	1105369	1115457	1124927	1126860	1133033	1136683	1144772	1155634	1162935	1170126	1184577	1203840	1219961	1231719	1237081	1238508	1242302	1242662	1243480	1249060	1254774	1259127	1266808	1277072	1285692	1295960	1306513	1313688	1318787	1323619	1327040	1330509	1329590	1328361	1328358	1327629	1328284	1327729	1328009	1330513	1328262	1331317	1334612	1339057	1344212	1369967	1395722	1402106
Maryland	6	2	2	1788	319728	320937	322408	324123	326065	328219	330566	333089	335772	338598	341547	344769	348369	352264	356371	360604	364877	369100	373182	377029	380546	383692	386538	389155	391617	393998	396372	398817	401410	404227	407350	410845	414673	418752	422997	427322	431641	435864	439900	443656	447039	449671	451430	452611	453513	454436	455681	457552	460355	464403	470018	477430	486470	496869	508353	520636	533418	546386	559210	571545	583033	593915	604676	615321	625856	636285	646613	656847	666993	677058	687049	696660	705704	714364	722832	731303	739978	749061	758763	769300	780894	793855	808159	823526	839664	856272	873036	889628	905712	920936	934943	947594	959153	969859	979959	989706	999359	1009182	1019444	1030419	1042389	1055475	1069469	1084165	1099349	1114804	1130304	1145617	1160508	1174733	1188044	1200239	1211443	1221898	1231849	1241548	1251250	1261215	1271707	1282992	1295345	1308667	1322630	1337173	1352232	1367741	1383634	1399843	1416299	1432929	1449660	1466648	1484060	1501840	1519929	1538267	1556795	1575450	1594167	1612881	1631526	1648880	1664312	1678647	1692730	1707418	1723586	1742123	1763944	1789991	1821243	1857816	1898908	1944154	1993175	2045579	2100952	2158858	2218832	2280386	2343001	2407980	2476705	2548723	2623554	2700688	2779581	2859656	2940301	3020871	3100689	3182397	3268229	3356810	3446688	3536333	3624135	3708415	3787425	3868000	3938051	4022507	4081121	4109038	4133341	4157208	4172132	4194639	4211641	4223398	4227643	4261905	4282923	4313329	4365246	4413072	4486956	4565558	4657903	4727303	4799770	4867641	4923368	4971889	5023060	5070033	5111986	5157328	5204464	5254509	5311034	5374691	5440389	5496269	5546935	5592379	5627367	5653408	5684965	5730388	5773552	5773794	5788645	5839419	5886992	5923188	5957283	5985562	6003323	6023868	6035802	6045680	6112966	6180253	6196525
Massachusetts	0	3	2	1788	475326	480777	487809	496221	505801	516333	527584	539307	551236	563089	574564	586004	597920	610245	622901	635808	648877	662011	675107	688057	700745	712927	724557	735820	746908	758024	769376	781183	793668	807067	523287	530295	537685	545456	553606	562134	571039	580321	589977	600006	610407	620905	631348	641931	652854	664325	676556	689772	704204	720095	737699	757573	779856	804175	830131	857302	885238	913455	941440	968649	994513	1019298	1043691	1067738	1091490	1115001	1138329	1161534	1184679	1207833	1231065	1253853	1275807	1297209	1318349	1339531	1361067	1383278	1406498	1431070	1457350	1485079	1513777	1543481	1574231	1606069	1639035	1673174	1708531	1745152	1783085	1822527	1863590	1906187	1950226	1995610	2042238	2090002	2138788	2188478	2238947	2290811	2344587	2399984	2456694	2514394	2572746	2631395	2689971	2748088	2805346	2862206	2919311	2976515	3033667	3090610	3147185	3203225	3258561	3313017	3366416	3418798	3470327	3521005	3570834	3619819	3667967	3715285	3761782	3807469	3852356	3897344	3942913	3988430	4033247	4076703	4118124	4156824	4192108	4223273	4249613	4268762	4280066	4285409	4286699	4285852	4284784	4285414	4289660	4299448	4316721	4340978	4369965	4403016	4439458	4478613	4519791	4562290	4605398	4648386	4690513	4732429	4775267	4819006	4863625	4909103	4955417	5002545	5050464	5099149	5148577	5201225	5258550	5318977	5380898	5442668	5502601	5558980	5610052	5650000	5703706	5738589	5762122	5783809	5776992	5762138	5748868	5744097	5742923	5746188	5746075	5768685	5771222	5799405	5840774	5880734	5902677	5935205	5979983	6015478	6022639	6018470	6028709	6060569	6095241	6141445	6179756	6226058	6271838	6317345	6361104	6397634	6417206	6422565	6412281	6403290	6410084	6431559	6468967	6517613	6547629	6547785	6566307	6613583	6663005	6713315	6762596	6794228	6823608	6859789	6882635	6892503	6946951	7001399	7020058
Michigan	1	3	1	1837	0	15	84	242	514	909	1420	2017	2650	3255	3757	4120	4370	4521	4593	4610	4597	4579	4584	4635	4761	4908	5017	5110	5210	5341	5527	5798	6182	6719	7451	8261	9035	9852	10806	12007	13592	15730	18640	22606	28004	35583	45969	59360	75809	95160	117012	140698	165286	189601	212266	232730	251565	269065	285630	301747	317976	334946	353355	373971	397654	424466	453757	485361	519078	554664	591837	630265	669574	709345	749113	789280	830517	872716	915762	959529	1003881	1048670	1093742	1138929	1184059	1229103	1274159	1319235	1364345	1409505	1454737	1500065	1545518	1591130	1636937	1683276	1730284	1777681	1825173	1872452	1919193	1965062	2009709	2052775	2093890	2132315	2167914	2201234	2232844	2263336	2293319	2323423	2354290	2386583	2420981	2455465	2488191	2520137	2552313	2585750	2621510	2660683	2704396	2753819	2810173	2873848	2944039	3020200	3101762	3188127	3278661	3372693	3469508	3568348	3668412	3774576	3890687	4014246	4142593	4272893	4402129	4527108	4644475	4750743	4842325	4914784	4968772	5008445	5038107	5062159	5085059	5111311	5145466	5192150	5256105	5335848	5425895	5525101	5632294	5746260	5865743	5989432	6115960	6243900	6371766	6503792	6644048	6790691	6941797	7095354	7249257	7401314	7549241	7690679	7823194	7949073	8071887	8191076	8306069	8416288	8521145	8620050	8712406	8781000	8896558	8971835	9024681	9071764	9109374	9107840	9117481	9157247	9201953	9248814	9255553	9209287	9115196	9047764	9049454	9076287	9127774	9187484	9218002	9253298	9311319	9400446	9479065	9540114	9597737	9676211	9758645	9809051	9847942	9897116	9952450	9991120	10015710	10041152	10055315	10051137	10036081	10001284	9946889	9901591	9883640	9884116	9877510	9882412	9897145	9913065	9929848	9931715	9950571	9973114	9984072	9986857	10012059	10037261	10041241
Minnesota	2	3	1	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	41	90	172	321	595	1094	1984	3519	6077	10312	16942	26489	39316	55557	75065	97383	121742	147067	172023	196513	221400	246650	272275	298332	324916	352161	380233	409336	439706	470732	501742	532936	564549	596854	630159	664806	701174	739678	780773	825277	873380	924569	978261	1033793	1090421	1147322	1203593	1258259	1310283	1359927	1408193	1455110	1500727	1545104	1588317	1630450	1671600	1711876	1751394	1789389	1825217	1859198	1891670	1922988	1953523	1983659	2013793	2044335	2075707	2108030	2140940	2174134	2207300	2240118	2272256	2303376	2333130	2361166	2387124	2410378	2430898	2449226	2465919	2481541	2496667	2511879	2527765	2544921	2563953	2584780	2606749	2629608	2653097	2676956	2700918	2724712	2748061	2770685	2792300	2811936	2829326	2845244	2860474	2875809	2892050	2910009	2930507	2954380	2982482	3015478	3052932	3094051	3138030	3184040	3231230	3278722	3325615	3370979	3413863	3455266	3496701	3537972	3578879	3619218	3658781	3697356	3734725	3758000	3815249	3851901	3866878	3885164	3898450	3925793	3956602	3979844	4004676	4038150	4085017	4111733	4131450	4141458	4157704	4184301	4205213	4235136	4296163	4338056	4389857	4440859	4495572	4555954	4610355	4660180	4712827	4763390	4813412	4873481	4933692	4982796	5018935	5053572	5087713	5119598	5163555	5207203	5247018	5281203	5303925	5303927	5310828	5346143	5376643	5413479	5451079	5482032	5522744	5566230	5606249	5639632	5688773	5737915	5761530
